일시,최저기온(°C),최고기온(°C),일강수량(mm),최대 순간 풍속(m/s),평균 풍속(m/s),최대 순간 풍속 풍향(hhmi)
2010.1.1,-1.7,5,0,13.3,3.4,334.7
2010.1.2,-0.4,13.2,0,17,5.1,14.1
2010.1.3,-0.1,7.5,0,14.5,5.4,5.5
2010.1.4,1,11.5,1,22.4,5.2,340.2
2010.1.5,-2.1,1.7,0,19.1,7.1,11.3
2010.1.6,-1.7,1.8,0,20.5,6.6,326.2
2010.1.7,-1.1,2.8,0,15.7,4.5,334.7
2010.1.8,-0.3,2.6,0,15.8,6.2,320.6
2010.1.9,-1.7,7.9,0,12.5,3.5,315
2010.1.10,2.5,7.6,0,10.8,4.1,337.5
2010.1.11,1.6,5.4,0,21.1,8.4,315
2010.1.12,-3.3,1.8,1.5,23.2,6.7,329.1
2010.1.13,-5.3,-1.4,9.5,19.2,3.4,320.6
2010.1.14,-3.2,4.2,0,11.8,3.5,0
2010.1.15,0.8,7.6,0,13.5,5.3,337.5
2010.1.16,-1.2,7.6,0,14.8,5.1,334.7
2010.1.17,-0.8,9,0,6.7,3.6,334.7
2010.1.18,1,10.7,0,7.1,3.2,334.7
2010.1.19,1,13.9,0,8.7,3.3,210.8
2010.1.20,12.4,15.2,20,16.1,4.7,199.6
2010.1.21,1.7,14.1,0,25.9,8,343.1
2010.1.22,-0.5,4.9,0,23.8,6.6,326.2
2010.1.23,-0.7,3.6,0,18.9,6.8,2.7
2010.1.24,-2.1,7.4,0,8,3.4,227.8
2010.1.25,-1.5,7.3,0,16.9,6.6,323.3
2010.1.26,-1.5,9.6,0,15.4,5.1,345.8
2010.1.27,3.2,12.1,47,18.8,5.3,205.3
2010.1.28,2.9,12.1,0.5,17.2,5.8,334.7
2010.1.29,0.1,10.3,0,12.2,4.4,5.5
2010.1.30,-0.3,9,22,6.2,2.8,135
2010.1.31,7.2,9.1,2.5,9,3.9,14.1
2010.2.1,1.2,7.6,8.5,25,8,323.3
2010.2.2,-1.6,5.2,0,15.7,7.8,334.7
2010.2.3,-2.5,2.1,0,16.9,7.6,340.2
2010.2.4,-2,4.5,0,14.1,5.7,329.1
2010.2.5,0.2,6.5,0,14.1,5,5.5
2010.2.6,-0.1,6.4,0,14,5.9,323.3
2010.2.7,-0.7,9.3,3.5,5.2,2.2,348.7
2010.2.8,8.4,15.4,7,12.3,3.5,225
2010.2.9,7.1,18.4,0,12.5,3.8,247.5
2010.2.10,8.8,16.5,2.5,11.9,3.2,357.2
2010.2.11,3.6,11.1,45.5,14,5.2,30.8
2010.2.12,1.2,4.9,2.5,16.5,7,326.2
2010.2.13,-1.4,3.1,0,19.4,8.7,326.2
2010.2.14,-1,3.7,2,11.5,5.6,11.3
2010.2.15,-0.3,7.5,0,20.3,7.2,337.5
2010.2.16,-1.4,2.2,0,20.7,8.7,5.5
2010.2.17,-1.4,6.2,0,14.1,4.8,329.1
2010.2.18,-1.3,2,1.5,19.1,6,323.3
2010.2.19,-1.8,5.7,0,13.3,4.3,317.7
2010.2.20,-0.9,8.9,0,8.3,3.3,177.1
2010.2.21,0.1,10.7,0,8.8,2.9,222.1
2010.2.22,1.4,14.9,0,6.8,3.3,182.8
2010.2.23,1.9,15.1,0,7.4,3.4,149.1
2010.2.24,10.6,16.2,0,11.8,5.2,205.3
2010.2.25,13.2,15.4,63,13.2,4.6,202.5
2010.2.26,8.6,15.8,10.5,9.7,3.4,61.9
2010.2.27,5.8,8.9,6,11.7,4.8,22.5
2010.2.28,4,13,0,7.2,3,8.3
2010.3.1,7.9,15.9,35.5,13.5,3.5,317.7
2010.3.2,4.6,10.7,1.5,11.7,3.8,334.7
2010.3.3,5.4,8.9,8.5,12.7,4.3,331.8
2010.3.4,7,12.4,16,8.5,2.7,227.8
2010.3.5,8.7,13.6,11.5,11.5,4,5.5
2010.3.6,6.9,10.7,19,13.3,6.1,351.6
2010.3.7,4.7,6.9,4,13.2,5.4,16.8
2010.3.8,4.3,7.7,1,12.2,4.8,61.9
2010.3.9,-3,5,4,26.3,6.3,329.1
2010.3.10,-5.1,-1.4,4,27.2,5.2,329.1
2010.3.11,-4.5,6.9,0,10.8,4.3,205.3
2010.3.12,3.1,12,0,14.8,6.1,233.3
2010.3.13,4.6,15.4,0,8.5,4.2,0
2010.3.14,8.6,17.5,4,10.8,3.5,157.5
2010.3.15,6.6,16.7,120.5,25.4,7.4,329.1
2010.3.16,0.3,9.3,0,25.5,5.4,326.2
2010.3.17,-0.2,9.1,0,9.7,4.2,185.6
2010.3.18,0.2,11.6,0,14.7,5.3,351.6
2010.3.19,-0.5,15.2,0,14.5,5.7,233.3
2010.3.20,7.7,22.8,0,20,7.5,222.1
2010.3.21,2.1,10,0,26,7.6,320.6
2010.3.22,0.8,10.3,9,9.1,3.3,163.1
2010.3.23,5.8,11.4,25,13.1,5.9,354.3
2010.3.24,6.7,8,8.5,11,5.2,343.1
2010.3.25,1.4,8.5,3,21.2,6.5,331.8
2010.3.26,-1.5,6.9,0,13.3,5.3,331.8
2010.3.27,-2.2,9.3,0,7.6,2.9,205.3
2010.3.28,0.7,14.1,0,15.8,3.9,326.2
2010.3.29,1.9,12.4,0,16.7,5.8,351.6
2010.3.30,2.3,10.2,3,8.1,2.8,146.3
2010.3.31,9.2,13.9,160.5,13.7,4.2,210.8
2010.4.1,6.2,13.9,83,21.8,4.6,343.1
2010.4.2,3.2,10.8,0,23.7,6.9,340.2
2010.4.3,1,11.4,0,13.6,5.1,337.5
2010.4.4,-0.4,12.4,0,7.6,2.7,168.8
2010.4.5,8.7,16.2,0.5,6.6,2.4,8.3
2010.4.6,6.2,15.9,0,19.5,4.1,323.3
2010.4.7,3.4,10.4,0,20,7.4,340.2
2010.4.8,2.5,11.5,0,9.4,3.6,120.9
2010.4.9,7.3,16.5,3.5,7.3,3,351.6
2010.4.10,10.2,16.3,0.5,6.7,1.5,357.2
2010.4.11,11.3,14.4,27.5,9.3,3.8,64.6
2010.4.12,10.4,12.8,21.5,13.4,4.3,351.6
2010.4.13,2,11.9,0,32.9,9.1,326.2
2010.4.14,1.5,7.4,0,14.3,6,317.7
2010.4.15,2,8.3,0,12.6,5.7,0
2010.4.16,1.2,10.3,0,9.9,4.1,320.6
2010.4.17,0.1,13.9,0,7.6,3.5,188.3
2010.4.18,4.8,16.4,0,11.4,2.9,213.8
2010.4.19,13.2,14.9,139.5,11.9,4.1,64.6
2010.4.20,11.3,18.9,3.5,10.2,4.3,16.8
2010.4.21,11.2,13.2,34,10.9,4.1,59
2010.4.22,9.2,11.5,34.5,13.1,4.8,53.4
2010.4.23,6.2,14.8,0,21.2,5.8,340.2
2010.4.24,5.1,14,0,16,4.4,331.8
2010.4.25,4.3,16.7,0,9.9,3.5,123.8
2010.4.26,8,15.1,54,12.3,4.3,236.3
2010.4.27,2.2,15.6,0,14.5,3.6,0
2010.4.28,1.6,13.3,18.5,20.8,4.1,334.7
2010.4.29,2.4,14.1,0,13,4.3,230.6
2010.4.30,7.2,17.5,0,13.5,5.6,334.7
2010.5.1,4.2,17.1,0,7.5,2.9,180
2010.5.2,10.2,22,0,12.3,4.8,216.6
2010.5.3,16.9,22.7,0,11.8,6.2,202.5
2010.5.4,15.9,23,0,10.2,5.2,213.8
2010.5.5,16.2,18.9,4,12,5.4,174.3
2010.5.6,12.8,22.2,39,11.7,3.4,230.6
2010.5.7,10.4,22.9,0,15.9,5,357.2
2010.5.8,9.5,22,0,8.2,3.5,177.1
2010.5.9,14.2,21.3,0,7,2.5,345.8
2010.5.10,12.6,21.4,2.5,14.1,4.6,317.7
2010.5.11,11.4,22.5,0,15.2,5.5,326.2
2010.5.12,8.1,19.7,0,16.9,4.9,329.1
2010.5.13,7.6,17.5,0,6.7,3.3,216.6
2010.5.14,9.4,18.6,0,9.4,4.3,106.9
2010.5.15,9.6,19.5,0,6.7,3.1,135
2010.5.16,11.1,22.5,0,6.9,2.7,165.8
2010.5.17,10.9,19.2,28.5,11.5,2.9,182.8
2010.5.18,17.5,19.9,106,11.8,4.2,154.6
2010.5.19,15.3,20.7,3,4.3,1.6,216.6
2010.5.20,13,24.4,0,6.1,2.7,334.7
2010.5.21,11.8,27.3,0,7.3,3.2,337.5
2010.5.22,15.4,18.5,60,9.4,3,67.5
2010.5.23,12.3,18.2,6,13.7,3.3,219.3
2010.5.24,11.3,23.4,0,10.2,3.1,199.6
2010.5.25,13.5,18.5,0,17.3,4.4,326.2
2010.5.26,12.5,20.4,0,12.2,3.4,320.6
2010.5.27,10.4,16.8,0.5,9.9,3.7,28.1
2010.5.28,9.9,17.5,0,10.3,4.1,45
2010.5.29,11.3,17.9,0,10.4,5,73
2010.5.30,12.2,18,0,11,5.4,67.5
2010.5.31,11.7,17.8,0,11.4,5.8,45
2010.6.1,11.9,18.8,0,11,5.2,53.4
2010.6.2,12.3,19.1,0,8,3.7,357.2
2010.6.3,13.2,24,0,8.3,3.2,151.8
2010.6.4,13,24.8,0,7.1,3.4,357.2
2010.6.5,13,26.6,0,6.6,3.8,331.8
2010.6.6,15.7,27.7,0,7.5,3.5,56.2
2010.6.7,15.5,24.6,3.5,8.9,3.3,11.3
2010.6.8,15.6,21.7,0,11.1,5.5,73
2010.6.9,14.5,24.7,0,8.5,3.6,16.8
2010.6.10,14.3,24.2,0,5.4,2.4,331.8
2010.6.11,18.4,20.7,29,9.5,4.1,149.1
2010.6.12,18.3,19.9,20,8.3,3.2,87.1
2010.6.13,17.4,23.6,0,9.4,4.4,59
2010.6.14,17.2,25,0,6.8,2.4,39.4
2010.6.15,16.7,24.1,1,5.5,1.8,208.1
2010.6.16,15.2,25.9,0,6.3,2.2,202.5
2010.6.17,16,25.3,3.5,6.2,2.2,8.3
2010.6.18,19.6,25.5,0,5.5,2.2,202.5
2010.6.19,18.7,27.4,0,7.6,2.3,11.3
2010.6.20,20.2,27.3,0,8.7,2.3,219.3
2010.6.21,17.2,25.2,0,5.3,1.8,182.8
2010.6.22,15.5,26.3,0,7,2.6,171.6
2010.6.23,15.7,28.4,0,6,2.3,185.6
2010.6.24,15.4,25.4,0,5.5,2.1,154.6
2010.6.25,19.6,21.4,49.5,11.9,3.9,53.4
2010.6.26,20.8,22.6,86,12.1,5.2,213.8
2010.6.27,20.2,22.3,47,10.9,3.7,236.3
2010.6.28,21.8,24.7,118.5,14.2,4.2,239.1
2010.6.29,20.8,22.7,48,7.3,2,278.3
2010.6.30,20.8,27,0,5.3,1.7,157.5
2010.7.1,20.5,28.9,0,5.2,1.8,171.6
2010.7.2,21.8,27.1,0,6.6,2.4,239.1
2010.7.3,22.9,29.4,13,11.8,2.9,244.6
2010.7.4,22.3,27,2.5,5.7,1.4,208.1
2010.7.5,21.3,27.7,0,4.9,1.5,143.3
2010.7.6,19.4,29.5,0,6.2,2.3,2.7
2010.7.7,17.8,30.1,0,5.9,2.5,109.6
2010.7.8,18.6,27.2,0,5.4,2.2,329.1
2010.7.9,17.5,28,0,7.6,2.9,39.4
2010.7.10,17.1,24.4,36.5,11.9,3.4,233.3
2010.7.11,21.8,24.2,24,16.3,6.5,230.6
2010.7.12,20.6,27.3,16.5,5.8,1.7,154.6
2010.7.13,21.3,24.9,166.5,14.4,3.8,213.8
2010.7.14,19.7,24.1,30.5,9.6,4.1,11.3
2010.7.15,19.5,24.2,15,9.3,3.2,199.6
2010.7.16,23.1,25,2.5,11.8,5.6,213.8
2010.7.17,23.9,26.6,0,10.4,5.1,205.3
2010.7.18,23.6,27.3,0,11,5,196.8
2010.7.19,24.2,28.2,0,10,5,182.8
2010.7.20,24.6,26.2,0.5,10.9,5.7,157.5
2010.7.21,24.8,28.7,0.5,11.1,5.5,188.3
2010.7.22,24.6,29.2,2,9.7,4.8,210.8
2010.7.23,23.9,30.2,0,8.2,3.7,185.6
2010.7.24,21.9,29.2,5,7.5,2.3,329.1
2010.7.25,21.9,28.6,5,5.3,2.4,348.7
2010.7.26,21.6,29.1,0,7.1,2.8,180
2010.7.27,21.9,27.3,16.5,11.6,3.1,202.5
2010.7.28,22.9,26.5,74.5,16.7,6.6,205.3
2010.7.29,22,29.9,0.5,12.8,4.5,216.6
2010.7.30,21.9,29.3,0,7.6,3.2,174.3
2010.7.31,24.5,29.4,0,9.8,5.2,233.3
2010.8.1,24.1,29.8,0,10.3,3.9,222.1
2010.8.2,23,31.8,0,4.9,1.7,160.3
2010.8.3,24.4,29.9,0,4.9,2.1,118
2010.8.4,25.3,31.4,0,6.2,2.3,160.3
2010.8.5,25,29.6,8,9.7,4.4,191.3
2010.8.6,25.1,30,3,9.4,3.9,185.6
2010.8.7,22,29.7,0,6.1,2.4,182.8
2010.8.8,22.3,29.3,7,7.8,2.9,123.8
2010.8.9,24.6,30,13,9.1,3.5,109.6
2010.8.10,24.5,26.6,77,21.7,8.6,160.3
2010.8.11,22.3,32.1,30,19.7,4.4,222.1
2010.8.12,21.4,29.6,0,8.7,3.3,222.1
2010.8.13,25.3,28.5,0,10,4.3,222.1
2010.8.14,25.6,27.8,11,10.4,5.7,222.1
2010.8.15,25.7,26.8,16,13.1,5.3,236.3
2010.8.16,25.5,29.1,0,11.5,5.6,230.6
2010.8.17,24.5,30.4,0,9.5,4.7,236.3
2010.8.18,22.7,29.8,0,7.4,2.7,255.8
2010.8.19,22.2,30.7,0,6.7,2.3,135
2010.8.20,23.3,30.8,0,5.9,2.6,75.9
2010.8.21,22.6,32.2,0,6.2,2.6,129.3
2010.8.22,23.9,30.2,0,7.3,3,194.1
2010.8.23,23.4,31.4,0,7.2,2.9,165.8
2010.8.24,23.6,30.4,0,7.4,2.8,185.6
2010.8.25,24.1,29.4,39,9.8,2.9,208.1
2010.8.26,24.1,29.4,25,10.8,3.2,261.6
2010.8.27,22.8,27.2,70,12.5,3.1,106.9
2010.8.28,23.5,28.3,110,19.1,5.2,129.3
2010.8.29,23.8,28.2,16.5,14.9,3,188.3
2010.8.30,23.8,29.5,4.5,7.1,2.1,182.8
2010.8.31,23.8,34,21,8.7,2.5,135
2010.9.1,22.1,26.4,56.5,19.7,6.8,205.3
2010.9.2,23.6,28.7,11,15,5.4,213.8
2010.9.3,20.6,29.4,0,6.8,3,202.5
2010.9.4,20.5,29.9,4,7.9,2.1,120.9
2010.9.5,21,26.5,17.5,13.9,3.5,112.5
2010.9.6,22.1,24.9,73.5,17.6,6.9,33.7
2010.9.7,21.4,28.1,4,14.6,3.1,0
2010.9.8,22,28,18,8.8,2.2,73
2010.9.9,20.9,28.3,29,7.7,2.6,213.8
2010.9.10,20.7,28.6,0,8,3.4,202.5
2010.9.11,23.9,28.3,5.5,15.4,6.8,210.8
2010.9.12,20.3,26.7,21.5,19.7,4.3,216.6
2010.9.13,15.7,27.1,0,7.9,3.1,8.3
2010.9.14,14.6,26.8,3,6.3,2.3,343.1
2010.9.15,16.7,22.1,2,8.2,3.5,30.8
2010.9.16,16.4,26.1,0,8.6,4.7,11.3
2010.9.17,14.9,27.5,0,6.9,4.3,340.2
2010.9.18,15.1,27.5,0,6.3,3.3,337.5
2010.9.19,20,28.9,0,8.6,2.9,177.1
2010.9.20,21,29.7,0,8.5,2.9,225
2010.9.21,22.9,29.1,7.5,13.1,5.4,227.8
2010.9.22,16.4,27.9,6,17.9,5.6,315
2010.9.23,14.1,20.8,0,15.5,6.3,323.3
2010.9.24,13.7,21.3,0,9.8,4.8,39.4
2010.9.25,13.3,21,0,8.4,4.2,50.5
2010.9.26,16,18,9,8.4,4,36.5
2010.9.27,14.1,18.6,14,10,3.6,5.5
2010.9.28,10.9,23.6,0,17.1,6.3,340.2
2010.9.29,10.7,19.4,2.5,9.6,4.9,351.6
2010.9.30,13.2,19.9,1,7.9,3.4,351.6
2010.10.1,12.2,23.9,0,7,3.6,64.6
2010.10.2,14.2,23.1,14,9.5,3.7,205.3
2010.10.3,14.1,23.2,1.5,12.6,3.5,329.1
2010.10.4,12.1,19.4,0,17.2,4,230.6
2010.10.5,10.8,17.4,0,13,5.1,326.2
2010.10.6,9.5,22.7,15,9,3.8,0
2010.10.7,14.9,21.1,4.5,7.7,3.3,106.9
2010.10.8,14.4,17.9,10.5,8.2,3,73
2010.10.9,12.5,22.9,0,9.6,3.8,340.2
2010.10.10,10.3,23.3,0,7.6,3.5,191.3
2010.10.11,10.9,23.2,0,5.9,2.8,180
2010.10.12,10.6,18.3,1.5,7.9,3.8,340.2
2010.10.13,10.3,22.7,0,7.3,3.8,340.2
2010.10.14,11,18,0,13.3,5.7,315
2010.10.15,8.5,16.3,0,15.4,5.9,323.3
2010.10.16,6.6,18.5,0,7,3.2,16.8
2010.10.17,8.2,19.4,0,7.9,3.7,30.8
2010.10.18,12.2,18.8,0,9.7,4.9,337.5
2010.10.19,15,19.6,0,9.5,5.1,70.3
2010.10.20,14.6,19,0,11.7,6.3,36.5
2010.10.21,13.2,18.4,0,11,5.4,16.8
2010.10.22,14.4,17.9,0,12.6,6.4,53.4
2010.10.23,14.7,18.7,30,10.3,4.8,19.7
2010.10.24,15.7,18.2,63,9.9,4.7,70.3
2010.10.25,7.5,18.3,6,22.4,7.8,320.6
2010.10.26,2.4,7.6,0,25.7,10,36.5
2010.10.27,2.3,11.8,0,11.3,6.3,11.3
2010.10.28,5.9,11,0,19.2,7.6,28.1
2010.10.29,5.4,13.6,0,15.8,6.7,19.7
2010.10.30,9.3,15.8,0,12.6,5.8,42.2
2010.10.31,8.3,15.4,0,16.4,6.1,36.5
2010.11.1,7.7,15.2,0,22.1,7.2,28.1
2010.11.2,4.8,11.9,0,19.3,7.3,36.5
2010.11.3,3.9,12.8,0,14.9,5.6,28.1
2010.11.4,6.2,13.7,0,10.4,4.1,25.2
2010.11.5,5.4,14.8,0,8.7,4,28.1
2010.11.6,4.9,16.5,0,7.1,4.2,106.9
2010.11.7,4.4,15.8,0,7.5,3.5,25.2
2010.11.8,5.8,13.9,0.5,21,6.2,42.2
2010.11.9,3.9,9.7,0.5,16.1,4.4,33.7
2010.11.10,3.5,14.8,2,9.9,3.1,42.2
2010.11.11,12,16.8,0,16.9,6,120.9
2010.11.12,4.5,14.5,0,11.6,3.3,109.6
2010.11.13,3.8,17.2,0,5.7,3.1,25.2
2010.11.14,6.8,17.7,0,17.3,4.7,14.1
2010.11.15,-0.3,7.2,0,24.4,9.6,33.7
2010.11.16,-1.3,8.6,0,12.3,5,36.5
2010.11.17,0.5,10.8,0,9.5,3.8,42.2
2010.11.18,2.5,12.8,0,7.5,3.9,11.3
2010.11.19,0.6,13.6,0,7.7,3.8,171.6
2010.11.20,3.1,13.9,0,5.8,3.3,25.2
2010.11.21,5.3,15.5,0,6.8,3.3,154.6
2010.11.22,4.3,14,0,20.4,7,22.5
2010.11.23,2.1,11.9,0,10.7,4.7,28.1
2010.11.24,5.3,13.6,0,8.9,3.5,11.3
2010.11.25,2.9,12.6,0,17.9,7,39.4
2010.11.26,0.3,9,0,14.8,5.5,8.3
2010.11.27,0.7,13.6,0,19.4,6.2,25.2
2010.11.28,-0.2,8.8,0,21,5.8,11.3
2010.11.29,-0.6,12.9,0,6.9,2.9,33.7
2010.11.30,7.7,16.4,0,6.5,3,39.4
2010.12.1,6.2,16.4,0,6.3,3.1,25.2
2010.12.2,6.2,12.2,7.5,9.4,3.9,14.1
2010.12.3,2,11.4,0,18.4,5.2,50.5
2010.12.4,-0.5,11.3,0,8.3,2.9,39.4
2010.12.5,2.8,13.8,0,8.4,3.1,165.8
2010.12.6,1.6,13.1,0,24.6,8.6,14.1
2010.12.7,0.4,2,0,20.6,,340.2
2010.12.8,,,,,,
2010.12.9,,,,,,
2010.12.10,,,,,,
2010.12.11,,,,,,
2010.12.12,,,,,,
2010.12.13,,,,,,
2010.12.14,-0.8,2.9,0,26.7,,300.8
2010.12.15,-2.9,2,0,24.5,7.5,317.7
2010.12.16,-3.2,1.3,5,11.8,3.6,284.1
2010.12.17,-1.2,7.1,0,13.8,3.4,284.1
2010.12.18,-0.1,9.1,0,12.2,3.4,264.3
2010.12.19,6.4,13.7,4.5,11.9,4.7,177.1
2010.12.20,3.7,14.1,0,9.9,4.2,320.6
2010.12.21,3.3,13.2,0,8.6,3.5,154.6
2010.12.22,1.7,12,0,7.7,3.3,306.6
2010.12.23,0.8,12.8,0,21.1,6.3,312.2
2010.12.24,-3.8,0.8,0,25.2,9.6,303.7
2010.12.25,-3.6,0.8,1.5,18.2,4.9,295.2
2010.12.26,-2.2,2.2,8.5,14.8,3.5,275.6
2010.12.27,-0.1,6.7,0,20.3,3.8,284.1
2010.12.28,1,8.8,0,15.5,5.2,227.8
2010.12.29,-0.5,5.9,0.5,19.1,4.4,323.3
2010.12.30,-4.4,5.1,5.5,18.8,5.8,278.3
2010.12.31,-4.4,-1,15,19.2,6.3,284.1